Catalogue Identifier,City,Year,Duration,Type,Institution,Catalogue Price,Monday Open,Monday Time,Monday Lowest Price,Monday Highest Price,Tuesday Open,Tuesday Time,Tuesday Lowest Price,Tuesday Highest Price,Wednesday Open,Wednesday Time,Wednesday Lowest Price,Wednesday Highest Price,Thursday Open,Thursday Time,Thursday Lowest Price,Thursday Highest Price,Friday Open,Friday Time,Friday Lowest Price,Friday Highest Price,Saturday Open,Saturday Time,Saturday Lowest Price,Saturday Highest Price,Sunday Open,Sunday Time,Sunday Lowest Price,Sunday Highest Price,Membership Available,Membership Price,Membership Benefits,Lottery,Lottery price,Competition,Minimum Age,Total Entries,misc,Reasoner,delpher link
2015020170,amsterdam,1813,27/09-16/10,national,arti et amicitiae,unknown,TRUE,13:00-16:00,unknown,unknown,TRUE,13:00-16:00,unknown,unknown,TRUE,13:00-16:00,unknown,unknown,TRUE,13:00-16:00,unknown,unknown,TRUE,13:00-16:00,unknown,unknown,TRUE,13:00-16:00,unknown,unknown,TRUE,13:00-16:00,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,unknown,142,unknown,front page details missing - inferred amsterdam from frequent artist locations. exhibition metadata like dates/prices not found in provided text. total entries counted from last numbered item n.142. all other fields default to unknown.,nan
2015018240,amsterdam,1814,17/10-07/11,national,"institituut van wetenschappen, fraaije letteren en kunsten",0.2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,unknown,151,tentoonstelling van levende nederlandse meesters; geen vermelding van toegangsvoorwaarden of leeftijdsbeperkingen,assumed 'national' type due to focus on dutch artists; year extrapolated from partial date '1 8 1'; total entries counted sequentially up to n.151; no explicit opening days/times/prices found in catalog fragment; institution derived from 'korrespondent van het inftituut' mentions,https://www.delpher.nl/nl/kranten/view?query=amsterdam+tentoonstelling+%22levende+meesters%22+1814&coll=ddd&page=1&identifier=ddd:010209408:mpeg21:a0010&resultsidentifier=ddd:010209408:mpeg21:a0010&rowid=1
2015018270,amsterdam,1820,18/09-07/10,national,"institituut van wetenschappen, fraaije letteren en kunsten",0.27.5,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,unknown,472,unknown,"year extracted from 'den jark 1818 a'. total entries counted through numbered list (n.1 to n.472). no explicit location found in header - cities mentioned include amsterdam, haarlem, gent and others. no dates, prices or opening hours mentioned in provided text. membership/competition details absent. assumed national scope based on 'nederlandsche meesters'.",https://www.delpher.nl/nl/kranten/view?query=amsterdam+tentoonstelling+%22levende+meesters%22+1820&coll=ddd&sortfield=date&identifier=ddd:010050698:mpeg21:p004&resultsidentifier=ddd:010050698:mpeg21:a0008&rowid=1
2015018280,amsterdam,1822,16/09-05/10,national,"institituut van wetenschappen, fraaije letteren en kunsten, koninklijke academie van beeldende kunsten",0.27.5,TRUE,10:00-17:00,0,0.27.5,TRUE,10:00-17:00,0,0.27.5,TRUE,10:00-17:00,0,0.27.5,TRUE,10:00-17:00,0,0.27.5,TRUE,10:00-17:00,0,0.27.5,TRUE,10:00-17:00,0,0.27.5,FALSE,unavailable,unavailable,unavailable,FALSE,unknown,unknown,FALSE,unknown,FALSE,unknown,434,toegang mits voorzien van een catalogus. dames mits onder geleide van een heer zijn vrij.,city inferred from frequent mentions of amsterdam in institution titles. year not explicitly stated in catalog content. institution derived from 'kon. akad. van beeld. kunsten te amsterdam' references. total entries counted as last item n.454. all opening/day details unavailable as no schedule data present in provided catalog pages.,"https://www.delpher.nl/nl/kranten/view?query=amsterdam+tentoonstelling+%22levende+meesters%22+1822&coll=ddd&page=1&identifier=ddd:010124602:mpeg21:a0005&resultsidentifier=ddd:010124602:mpeg21:a0005&rowid=1, https://www.delpher.nl/nl/kranten/view?query=amsterdam+tentoonstelling+%22levende+meesters%22+1822&coll=ddd&page=1&identifier=ddd:010050023:mpeg21:a0007&resultsidentifier=ddd:010050023:mpeg21:a0007&rowid=7"
2015019680,haarlem,1825,01/07-31-07,national,provinciaal genootschap van kunsten en wetenschappen in noord-brabant,0.25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,TRUE,unknown,FALSE,unknown,511,unknown,"extracted institution and year from catalog title. no explicit dates, prices, or membership details found. total entries counted from artwork list (no. 1-511). assumed 'national' type due to 'nederlandsche meesters' focus.",https://www.delpher.nl/nl/kranten/view?query=haarlem+tentoonstelling+levende+meesters+1825&coll=ddd&identifier=ddd:010242658:mpeg21:a0001&resultsidentifier=ddd:010242658:mpeg21:a0001&rowid=2
2015018870,amsterdam,1826,11/09-07/10,national,"institituut van wetenschappen, letteren en kunsten, koninklijke academie van beeldende kunsten",0.25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,unknown,537,unknown,"assumed year from 'loo &/40' notation. catalogue price derived from 'pr us is 2,5' interpreted as 2.50. no explicit opening days/times/prices found in ocr text. total entries counted from last numbered artwork (537). no membership/competition references found in catalog body text.",https://www.delpher.nl/nl/kranten/view?query=amsterdam+tentoonstelling+%22levende+meesters%22+1826&coll=ddd&identifier=ddd:010774545:mpeg21:a0014&resultsidentifier=ddd:010774545:mpeg21:a0014&rowid=5
2015018880,amsterdam,1828,15/09-11/10,national,"institituut van wetenschappen, letteren en kunsten, koninklijke academie van beeldende kunsten",0.25,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,unknown,610,beeldwerken sectie met sculpturen; nagekomene stukken (late entries 518-618); geen openingsdata/tijden/prijzen vermeld,"jaar onvolledig (18»), tentoonstellingsstad niet expliciet vermeld. kunstwerken afkomstig uit meerdere nederlandse/vlaamse steden. geen prijzen, openingsdagen of tijden gevonden. laatste catalogusnummer 618 inclusief nagekomen stukken. geen vermelding van abonnementen/loterijen.",https://www.delpher.nl/nl/kranten/view?query=amsterdam+tentoonstelling+%22levende+meesters%22+1828&coll=ddd&identifier=ddd:010920391:mpeg21:a0001&resultsidentifier=ddd:010920391:mpeg21:a0001&rowid=7
2015016570,rotterdam,1832,06/08-31/08,national,arti sacrum,0.25,TRUE,10:00-16:00,unknown,unknown,TRUE,10:00-16:00,unknown,unknown,TRUE,10:00-16:00,unknown,unknown,TRUE,10:00-16:00,unknown,unknown,TRUE,10:00-16:00,unknown,unknown,TRUE,10:00-16:00,unknown,unknown,TRUE,10:00-16:00,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,unknown,185,"schilderijen met * zijn te koop, nadere informatie bij commissieleden",front page lists rotterdam as location and 1833 as year. catalogue price explicitly stated as 25 cents. no opening days/times or entry prices mentioned. total entries counted up to no. 184* + nagekomen stukken entries. artwork sales indicated with asterisks.,https://www.delpher.nl/nl/kranten/view?cql%5b%5d=%28date+_gte_+%2201-01-1832%22%29&cql%5b%5d=%28date+_lte_+%2231-12-1832%22%29&query=rotterdam+stedelijke+tentoonstelling+1832&coll=ddd&redirect=true&identifier=ddd:010977860:mpeg21:a0008&resultsidentifier=ddd:010977860:mpeg21:a0008&rowid=1
2015020050,amsterdam,1835,unknown,national,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,unknown,71,prijzen van kunstwerken op aanvraag bij lokale bedienden (zie notitie onderaan catalogus),assumed amsterdam based on rijks museum institution. year/duration not found. total entries counted from main catalog list ending at n°50. no explicit pricing/membership/competition details found. misc note references price inquiries at location.,nan
2015019800,groningen,1837,unknown,national,kunstlievend genootschap ter aanmoediging en bevordering van de tekenkunst te groningen,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,FALSE,unknown,unknown,FALSE,unknown,FALSE,unknown,99,unknown,"city extracted from 'te groningen' on title page. institution derived from full name in header. type assumed national due to focus on dutch artists. total entries counted sequentially up to nr. 99. no explicit dates, prices, membership info, or competition references found in provided text.",nan
